Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1442880000,226.15,226.15,226.14,226.14,7.01664171,1586.7439571,226.14008562,2015-09-22T00:00:00Z,2015-09-22
1442966400,230.08,230.42,229.36,230.42,64.05895278,14721.814101,229.81665267,2015-09-23T00:00:00Z,2015-09-23
1443052800,229.42,229.42,229.42,229.42,1.28190521,294.09469328,229.42,2015-09-24T00:00:00Z,2015-09-24
1443139200,233.88,233.9,233.88,233.9,1.707,399.2373,233.88242531,2015-09-25T00:00:00Z,2015-09-25
1443225600,235.14,235.14,235.14,235.14,0.32145364,75.58660891,235.14,2015-09-26T00:00:00Z,2015-09-26
1443312000,233.81,234.26,233.81,234.26,4.82439509,1130.0790288,234.24263721,2015-09-27T00:00:00Z,2015-09-27
1443484800,239.14,239.14,239.14,239.14,5.06271963,1210.6987723,239.14,2015-09-29T00:00:00Z,2015-09-29
1443571200,236.78,236.78,236.78,236.78,1.96798767,465.9801205,236.78,2015-09-30T00:00:00Z,2015-09-30
1443657600,235.87,236.19,235.87,236.19,10.0423784,2368.7093545,235.87135041,2015-10-01T00:00:00Z,2015-10-01
1443830400,237.77,237.97,237.77,237.77,7.80881665,1858.0580982,237.94361956,2015-10-03T00:00:00Z,2015-10-03
1443916800,239.06,239.06,238.77,238.77,2.1799206,520.71909064,238.87066833,2015-10-04T00:00:00Z,2015-10-04
1444003200,238.6,238.6,238.6,238.6,32.98321225,7869.7944429,238.6,2015-10-05T00:00:00Z,2015-10-05
1444521600,245.71,245.71,245.71,245.71,1.67342737,411.17783908,245.71,2015-10-11T00:00:00Z,2015-10-11
1444608000,248.05,248.05,248.05,248.05,0.1525951,37.851214555,248.05,2015-10-12T00:00:00Z,2015-10-12
1444694400,245.81,245.81,245.81,245.81,3.00596302,738.89576995,245.81,2015-10-13T00:00:00Z,2015-10-13
1444867200,252.47,252.47,252.47,252.47,0.07152103,18.056914444,252.47,2015-10-15T00:00:00Z,2015-10-15
1445040000,263.09,263.09,262.41,262.83,0.07002741,18.393742448,262.66489719,2015-10-17T00:00:00Z,2015-10-17
1445126400,270.04,270.04,270.04,270.04,0.1137,30.703548,270.04,2015-10-18T00:00:00Z,2015-10-18
1445299200,264.28,264.4,264.28,264.4,1.66326908,439.63731557,264.3212219,2015-10-20T00:00:00Z,2015-10-20
